,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
713,Brigade de gendarmerie d'Étampes,gendarmerie,"SRID=3857;POLYGON((239226.865888889 6180624.9402593,239228.658132691 6180615.35857198,239236.127670523 6180617.07018609,239236.506156792 6180615.44247463,239251.556551947 6180619.52014414,239249.519405265 6180628.54807781,239248.194703325 6180628.34671115,239247.036980621 6180635.22674121,239250.710523817 6180641.33487012,239264.681119912 6180644.57352266,239264.057730763 6180645.83206672,239269.478989965 6180647.07383038,239267.196940403 6180656.45418603,239263.356417971 6180655.06139554,239262.343410605 6180659.30689016,239240.535922358 6180654.17202342,239236.751059671 6180647.24163629,239233.478266642 6180648.29881363,239232.509787072 6180648.81901204,239231.429988012 6180648.53374194,239230.350188951 6180647.81217643,239230.005098529 6180646.62075443,239230.138681918 6180645.36221025,239230.762071067 6180643.65059046,239227.21097931 6180636.90479817,239229.87151514 6180625.87997002,239226.865888889 6180624.9402593))",POINT (2.149168566303541 48.44159987280739),76,Avenue du 8 Mai 1945,91150,Étampes,,police
719,,,,POINT (2.06257930000003 48.95955389970241),54,Avenue Lénine,78260,Achères,,police
725,Gendarmerie - Brigade de Luzarches,gendarmerie,"SRID=3857;POLYGON((269654.35664097 6293542.15383017,269654.690599443 6293530.19898108,269656.583030786 6293530.07994284,269657.963392472 6293524.40012013,269660.278837881 6293524.33209833,269661.258449399 6293522.49550978,269658.876212296 6293516.62863238,269671.032300691 6293511.85010627,269674.650184142 6293521.01603597,269667.848563254 6293523.66888575,269665.533117846 6293523.83894025,269665.533117846 6293528.88956052,269667.915354949 6293528.82153868,269667.759507662 6293541.55863813,269654.35664097 6293542.15383017))",POINT (2.42242715986008 49.10989062354619),,,,,,police
726,Commissariat central de police de Paris 1er arrondissement,police,,POINT (2.331514899999998 48.86690409972534),,,,,,police
735,Brigade de gendarmerie d'Orgeval,gendarmerie,"SRID=3857;POLYGON((219697.252722844 6262020.50565307,219708.495991414 6262010.17094145,219707.048838034 6262008.30730628,219714.284604935 6262002.20813947,219715.954397297 6262004.07177331,219724.637317579 6261996.44781931,219731.093848045 6262003.22466697,219728.867458229 6262005.42714363,219740.778643744 6262018.81143719,219733.765515824 6262024.91061596,219735.769266659 6262026.94367653,219729.090097211 6262033.04286116,219726.975026886 6262030.6709555,219717.624189659 6262038.80320624,219706.603560071 6262025.58830276,219703.486614328 6262028.29905051,219697.252722844 6262020.50565307))",POINT (1.97377648202103 48.92425096465462),,,,,,police
768,,,,POINT (2.20614969999997 48.86306899972627),,,,,,police
773,,police_municipale,"SRID=3857;POLYGON((290650.871264995 6223224.43111154,290666.845611923 6223204.24398495,290673.836475945 6223209.77562389,290669.42822411 6223215.34099596,290675.361552969 6223220.04626793,290664.340923381 6223233.9765866,290650.871264995 6223224.43111154))",POINT (2.611079681153942 48.69472160622651),,,,,,police
778,Compagnie Républicaine de Sécurité 4 autoroutière d'Île-de-France,,,POINT (2.523343600000037 48.82597149973549),,,,,,police
783,,,,POINT (2.246997999999963 48.71765049976238),,,,,,police
787,,police_municipale,"SRID=3857;POLYGON((292210.101108638 6242291.32510088,292243.942233839 6242274.92946337,292254.740224446 6242297.24106035,292239.712093189 6242304.67827239,292225.240559386 6242311.94646319,292221.233057717 6242303.83313433,292217.114236558 6242305.86146581,292215.444444196 6242302.48091361,292212.550137435 6242296.39592302,292210.101108638 6242291.32510088))",POINT (2.625173065298894 48.80769316985486),38,Rue du Lapin Vert,77184,Émerainville,,police
790,Commissariat de police d'Enghien Les Bains,police,,POINT (2.307584000000041 48.96921749969996),,,,,,police
815,,,,POINT (2.376402299999962 48.66926119977435),,,,,,police
831,,police_municipale,,POINT (2.317138800000027 48.99114329969452),,,,,,police
834,Brigade motorisée de Pontoise,gendarmerie,"SRID=3857;POLYGON((232787.723527341 6284774.58218309,232788.547291573 6284762.96251423,232790.461986815 6284762.92853861,232791.519521977 6284744.93846888,232790.194820037 6284744.61570122,232790.695757745 6284732.80920837,232796.940781179 6284733.33582856,232796.963045077 6284730.90658085,232801.415824709 6284731.09344603,232801.337901065 6284733.69257129,232804.332395367 6284733.94738754,232803.965041048 6284742.11849919,232806.647840776 6284742.23741356,232806.080111373 6284751.4108125,232807.538396702 6284751.58069035,232808.751779152 6284752.97368887,232808.573667967 6284756.37124719,232806.915007554 6284758.42677064,232805.401062479 6284758.29086824,232804.944652567 6284767.27741863,232801.961290214 6284767.0395892,232801.349033014 6284775.70338006,232798.265483119 6284775.44856255,232798.087371934 6284777.94577443,232793.734779844 6284777.77589605,232793.723647895 6284775.07483022,232787.723527341 6284774.58218309))",POINT (2.09125666836662 49.05826991694317),,,,,,police
872,Commissariat de police de Juvisy-sur-Orge,police,"SRID=3857;POLYGON((264660.597679831 6222616.24119959,264674.946762195 6222611.67117078,264673.733379745 6222607.82627759,264697.188396455 6222599.98472452,264699.526105762 6222607.20232579,264711.081068906 6222603.59352439,264731.374612078 6222669.09182217,264731.875549786 6222668.94004901,264736.66228789 6222684.18483317,264730.895938267 6222685.95552337,264725.318831778 6222687.65875905,264721.155482823 6222688.94040197,264719.552482155 6222683.78010403,264716.435536413 6222673.93170099,264698.357251108 6222616.71337983,264678.497853951 6222622.8854525,264698.101216279 6222684.70760833,264698.57989009 6222686.22534286,264699.737612794 6222689.90163428,264701.36287736 6222695.09566341,264686.835683811 6222699.63200963,264684.097224338 6222690.96404907,264668.000425969 6222639.81651643,264660.597679831 6222616.24119959))",POINT (2.377815976245951 48.69132018540675),,,,,,police
880,Préfecture de police – antenne du 19e arrondissement,,,POINT (2.393431199999966 48.87638319972299),14,Rue Augustin Thierry,75019,Paris,,police
881,Commissariat de police de Chelles,police,,POINT (2.598252199999974 48.87959329972217),2,Avenue de Claye,77500,Chelles,,police
885,,police,"SRID=3857;POLYGON((258863.746516262 6253920.87970953,258863.813307957 6253920.55811638,258864.915370916 6253914.76944185,258865.728003198 6253910.53795713,258874.856201444 6253912.2474767,258876.793160583 6253912.6875511,258874.90072924 6253922.94467633,258869.423810293 6253921.92911882,258863.746516262 6253920.87970953))",POINT (2.325471373765771 48.87641020583455),,,,,,police
891,Brigade de gendarmerie de la Ferté-Gaucher,gendarmerie,,POINT (3.303171399999959 48.78264999974623),,,,,,police
896,,police_municipale,,POINT (2.408647100000044 48.64989169977915),,,,,,police
926,,police_municipale,,POINT (2.73583439999999 48.74105719975653),,,,,,police
932,,police_municipale,,POINT (2.127021200000021 48.79685579974269),41,Rue d'Anjou,,,,police
939,,police_municipale,,POINT (2.189422799999971 48.80982029973953),,,,,,police
949,,police_municipale,,POINT (2.337531099999994 48.77967999974695),,,,,,police
977,Brigade de gendarmerie de Fleury-Mérogis,gendarmerie,"SRID=3857;POLYGON((263195.677708788 6214380.33664539,263209.815284119 6214375.11400364,263217.05105102 6214395.16222658,263274.269269288 6214374.27164237,263279.167326883 6214388.25485031,263220.613274726 6214409.98783362,263223.396261996 6214417.56911995,263203.581392634 6214424.81346654,263198.572015549 6214410.83019843,263205.585143469 6214408.13463133,263195.677708788 6214380.33664539))",POINT (2.364637494707401 48.64237322248328),1,Avenue des Peupliers,91700,Fleury-Mérogis,,police
983,Commissariat Central du 6e arrondissement,,,POINT (2.332554900000043 48.85032219972946),,,,,,police
986,,,,POINT (1.81365959999998 48.70775879976482),,,,,,police
994,Brigade de gendarmerie de Méréville,gendarmerie,"SRID=3857;POLYGON((232460.588939747 6159555.93941998,232461.368176182 6159555.93941998,232461.368176182 6159553.09376309,232474.169917624 6159552.4241969,232474.058598133 6159549.57854119,232493.762148003 6159548.57419234,232500.107358979 6159552.4241969,232499.105483561 6159554.93507038,232508.233681806 6159560.45899462,232500.886595414 6159573.682949,232492.871592077 6159569.16336735,232493.650828512 6159567.65684067,232491.424438697 6159565.98292244,232472.388805771 6159567.15466517,232472.500125262 6159569.33075922,232461.924773636 6159570.16771862,232461.702134655 6159568.32640805,232460.588939747 6159555.93941998))",POINT (2.088435282174034 48.3158324921809),21,Rue Paul Bert,91660,Méréville,,police
999,,police_municipale,"SRID=3857;POLYGON((282919.465462624 6267534.36639043,282929.628932133 6267495.42496146,282958.416152452 6267508.69927257,282946.004029229 6267534.8919399,282944.77951483 6267534.11209232,282940.059568421 6267544.30097612,282919.465462624 6267534.36639043))",POINT (2.541670347666523 48.95671330392781),,Rue Clarissa Jean-Philippe,93420,Villepinte,,police
1010,,police_municipale,"SRID=3857;POLYGON((250939.813654565 6265818.01131144,250942.240419464 6265805.04474905,250944.611524618 6265792.09515626,250946.615275452 6265788.77301262,250947.817525953 6265787.73908042,250949.209019588 6265787.11194128,250949.999387972 6265786.90854481,250951.513333047 6265786.8746454,250953.016146173 6265787.29838805,250965.550720836 6265799.48523558,250986.66802824 6265821.50296431,250983.64013809 6265828.16422841,250964.493185673 6265826.38450085,250965.205630415 6265820.99447108,250959.272301555 6265814.55355952,250958.047787157 6265825.77430862,250944.032663266 6265824.18102914,250939.813654565 6265818.01131144))",POINT (2.25440789549501 48.94663142538515),,,,,,police
1017,Commissariat de police de Noisy-le-Grand,police,,POINT (2.553513900000035 48.84930159972969),,,,,,police
1027,Commissariat de police de Boulogne-Billancourt,police,"SRID=3857;POLYGON((249475.862163091 6246961.48523899,249476.229517411 6246957.17266651,249476.786114865 6246952.55567958,249490.111057913 6246940.80182311,249494.775344577 6246936.59073318,249500.719805386 6246943.98128196,249502.679028424 6246946.53499711,249498.883033787 6246949.20709723,249500.196603779 6246951.71007785,249497.124185833 6246953.73952215,249500.241131575 6246958.72857476,249524.063502605 6246967.31989938,249516.148686809 6246981.22162813,249512.107789294 6246979.9193971,249484.912437693 6246971.83542191,249483.109061942 6246971.34497178,249481.428137631 6246970.56701646,249479.903060607 6246969.50155603,249478.578358667 6246968.23315093,249477.498559606 6246966.72797712,249476.652531476 6246965.10441916,249476.107065971 6246963.328653,249475.862163091 6246961.48523899))",POINT (2.241266106903767 48.83530388094414),24,Avenue André Morizet,92100,Boulogne-Billancourt,,police
1039,,police,,POINT (2.276445099999975 48.8638301997261),,,,,,police
1049,,police_municipale,,POINT (2.238519699999986 48.89798939971765),,,,,,police
1056,,gendarmerie,,POINT (2.229949500000045 48.83147079973411),80,Rue de Sèvres,92100,,,police
1058,Commissariat de police de Villeneuve-Saint-Georges,police,"SRID=3857;POLYGON((272416.93904814 6230245.53088495,272417.384326103 6230217.00585607,272448.108505562 6230217.34342982,272448.331144543 6230246.03724728,272431.521901434 6230245.86845983,272424.842731986 6230245.69967239,272416.93904814 6230245.53088495))",POINT (2.447304629470167 48.73628019800137),,,,,,police
1064,,police_municipale,"SRID=3857;POLYGON((271069.86189005 6201559.15483931,271077.320295933 6201551.08035468,271080.99383913 6201550.74391799,271081.773075565 6201551.58500975,271082.663631492 6201554.27650393,271075.316545099 6201560.50058749,271072.310918848 6201563.36030308,271069.86189005 6201559.15483931))",POINT (2.435119394438064 48.56610322054345),,,,,,police
1070,,police_municipale,,POINT (2.123451900000007 48.86103209972683),,,,,,police
1075,Brigade de gendarmerie de la Queue-les-Yvelines,gendarmerie,"SRID=3857;POLYGON((195646.743528652 6241570.97803017,195649.170293551 6241553.33309237,195678.92599344 6241556.81475344,195676.009422781 6241574.03716585,195646.743528652 6241570.97803017))",POINT (1.757667628114257 48.80337438244459),,,,,,police
1091,Brigade de gendarmerie de Versailles,gendarmerie,"SRID=3857;POLYGON((237805.716741626 6240768.76203139,237827.91384809 6240757.59133732,237843.98838256 6240789.49798815,237860.140840675 6240821.57375713,237837.94373421 6240832.84593448,237831.943613657 6240821.08366281,237843.843667222 6240815.32083163,237840.270311568 6240807.86802645,237837.854678618 6240808.94961229,237834.748864825 6240803.00089192,237827.980639784 6240790.03877988,237824.329360486 6240783.0591893,237826.834049029 6240781.80860952,237823.260693375 6240774.91352427,237811.650070485 6240780.74392687,237805.716741626 6240768.76203139))",POINT (2.136510667565783 48.79881900159637),12,Rue Benjamin Franklin,78000,Versailles,,police
1111,Compagnie Républicaine de Sécurité 1,,"SRID=3857;POLYGON((242866.40098063 6237977.94875504,242869.094912307 6237972.441268,242876.43086675 6237957.42240282,242890.768817164 6237945.00525091,242912.810076341 6237938.07868427,242934.539640944 6237933.77070056,243415.840591338 6237822.52411449,243440.308615414 6237825.12576437,243462.160631457 6237834.26533296,243472.791642828 6237841.66484303,243481.964368869 6237852.5444997,243495.511950899 6237868.62749599,243504.116947537 6237896.33356955,243514.625507468 6237946.01889528,243517.486418381 6237965.12611437,243519.401113623 6237988.06834944,243513.668159847 6238007.17566329,243504.116947537 6238022.46492422,243485.960738589 6238037.75421271,243466.84718202 6238047.2994731,243440.097108382 6238056.86163852,243363.654014054 6238075.00613048,243218.426606365 6238110.36603875,243183.216251427 6238118.86392688,243157.156358633 6238127.51387345,242976.161998552 6238168.78707984,242961.668200851 6238168.29713884,242950.001918215 6238166.59079281,242938.369031428 6238163.53288645,242926.6136932 6238158.10975135,242913.889875402 6238146.80734075,242902.846981915 6238135.16705619,242892.906151388 6238114.11659668,242867.84813401 6238002.78317354,242866.40098063 6237977.94875504))",POINT (2.184630946049609 48.78225458803025),,,,,,police
1121,Commissariat de police de Paris 4ème arrondissement,police,,POINT (2.367093600000029 48.85106729972925),27,Boulevard Bourdon,75004,,,police
1122,Commissariat de police de Draveil,police,"SRID=3857;POLYGON((267932.032611366 6221715.31853409,267965.049972335 6221710.15882781,267967.855223503 6221727.98174811,267970.504627384 6221727.56020273,267971.829329324 6221735.99111426,267968.935022564 6221736.44638372,267970.805190009 6221748.40143126,267973.810816261 6221747.94616116,267975.068726507 6221756.41081667,267938.934419795 6221761.77289365,267932.032611366 6221715.31853409))",POINT (2.407059539393715 48.68592338546963),,,,,,police
1129,,police_municipale,,POINT (2.199591900000008 48.99598989969331),,Avenue Aristide Maillol,95370,Montigny-lès-Cormeilles,,police
1144,Brigade de gendarmerie de Saint-Soupplets,gendarmerie,"SRID=3857;POLYGON((312573.998198433 6282052.39821096,312580.120770427 6282040.00109987,312582.124521261 6282035.9253413,312602.829946548 6282045.94491799,312623.758010817 6282056.47397749,312624.648566744 6282051.54909318,312629.101346376 6282052.56803453,312627.765512486 6282058.51186148,312637.338988694 6282063.26692606,312633.331487026 6282079.23037673,312621.086343038 6282073.45635918,312620.195787112 6282075.32442325,312616.076965953 6282073.28653519,312617.07884137 6282071.07882368,312607.950643125 6282066.6634024,312606.948767708 6282068.53146497,312608.173282106 6282069.89005619,312608.284601597 6282070.90899975,312600.826195714 6282085.85351937,312592.477233905 6282081.43809037,312600.380917751 6282065.64445936,312573.998198433 6282052.39821096))",POINT (2.80818345786836 49.04240575608581),14,Rue du Point du Jour,77165,Saint-Soupplets,,police
